GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Tests (MyBatis3)/mybatis-generator-systests-common,mbg.test.common,FirstName,30,0,4,0,9,0,7,0,5,0
MyBatis Generator Tests (MyBatis3)/mybatis-generator-systests-common,mbg.test.common,BaseClass,10,0,0,0,5,0,3,0,3,0
MyBatis Generator Tests (MyBatis3)/mybatis-generator-systests-common,mbg.test.common,MyTime,59,0,8,0,16,0,13,0,9,0
MyBatis Generator Tests (MyBatis3)/mybatis-generator-systests-common,mbg.test.common.util,SqlScriptRunner,243,0,36,0,67,0,28,0,10,0
MyBatis Generator Tests (MyBatis3)/mybatis-generator-systests-common,mbg.test.common.util,TestUtilities,84,0,16,0,21,0,15,0,7,0
