GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Tests (iBATIS2 - Java2)/mybatis-generator-systests-common,mbg.test.common,FirstName,11,19,3,1,2,7,3,4,1,4
MyBatis Generator Tests (iBATIS2 - Java2)/mybatis-generator-systests-common,mbg.test.common,BaseClass,0,10,0,0,0,5,0,3,0,3
MyBatis Generator Tests (iBATIS2 - Java2)/mybatis-generator-systests-common,mbg.test.common,MyTime,12,47,4,4,2,14,5,8,1,8
MyBatis Generator Tests (iBATIS2 - Java2)/mybatis-generator-systests-common,mbg.test.common.util,SqlScriptRunner,71,172,13,23,16,51,16,12,4,6
MyBatis Generator Tests (iBATIS2 - Java2)/mybatis-generator-systests-common,mbg.test.common.util,TestUtilities,17,67,8,8,3,18,7,8,1,6
