GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.miscellaneous.dao.impl,RegexrenameDAOImpl.UpdateByExampleParms,10,0,0,0,4,0,2,0,2,0
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.miscellaneous.dao.impl,MyObjectDAOImpl.UpdateByExampleParms,0,10,0,0,0,4,0,2,0,2
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.miscellaneous.dao.impl,RegexrenameDAOImpl,85,40,0,0,20,11,8,4,8,4
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.miscellaneous.dao.impl,MyObjectDAOImpl,17,90,0,0,4,23,2,10,2,10
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkonlyExample.GeneratedCriteria,280,101,14,6,64,23,33,11,24,10
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkfieldsExample.Criteria,0,3,0,0,0,2,0,1,0,1
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkfieldsExample,14,72,0,2,5,25,2,11,2,10
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkfieldsExample.GeneratedCriteria,1526,241,30,14,360,59,186,26,168,22
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,AwfulTableExample.Criteria,0,3,0,0,0,2,0,1,0,1
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,AwfulTable,455,156,135,13,28,52,71,40,2,35
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkfieldsblobsExample.Criteria,0,3,0,0,0,2,0,1,0,1
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,FieldsblobsExample,24,62,1,1,9,21,5,8,4,8
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,FieldsblobsWithBLOBs,123,24,28,0,16,10,16,7,2,7
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkblobsExample.GeneratedCriteria,194,93,14,6,42,21,22,10,13,9
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkfieldsblobsKey,81,17,22,0,13,7,13,5,2,5
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,AwfulTableExample.GeneratedCriteria,1734,195,8,12,433,46,221,19,214,16
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,FieldsonlyExample.Criteria,0,3,0,0,0,2,0,1,0,1
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,Fieldsblobs,85,23,24,2,13,7,15,5,2,5
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,FieldsblobsExample.GeneratedCriteria,328,85,14,6,76,19,39,9,30,8
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkfieldsKey,81,17,22,0,13,7,13,5,2,5
MyBatis Generator Tests (iBATIS2 - Java5),mbg.test.ib2j5.generated.conditional.model,PkfieldsblobsExample.GeneratedCriteria,500,101,14,6,120,23,61,11,52,10
